"phrase","translation_hy","translation_ru","category","level","example_en"
"give away","նվիրել, գաղտնիք բացել","раздавать, выдавать","phrasal_verb","B1","They gave away old books."
"go through","ապրել, անցնել","переживать, просматривать","phrasal_verb","B1","She went through a hard year."
"hold on","սպասել, բռնել","подожди, держись","phrasal_verb","A2","Hold on a second."
"keep up with","հետևել տեմպին","успевать за","phrasal_verb","B1","It is hard to keep up with native speakers."
"let down","հիասթափեցնել","подводить","phrasal_verb","B1","I will not let you down."
"make up","հաշտվել, հորինել","мириться, выдумывать","phrasal_verb","B1","They made up after the fight."
"pass away","մահանալ (քաղաքավարի)","скончаться","phrasal_verb","B1","Her grandfather passed away."
"point out","նշել, ցույց տալ","указывать","phrasal_verb","B1","He pointed out my mistake kindly."
"put up with","հանդուրժել","терпеть","phrasal_verb","B2","I cannot put up with that noise."
"run into","պատահաբար հանդիպել","случайно встретить","phrasal_verb","B1","I ran into my teacher downtown."
"sort out","կարգավորել","уладить, разобрать","phrasal_verb","B1","We need to sort out this problem."
"take up","սկսել զբաղվել","взяться за","phrasal_verb","B1","She took up the piano."
"turn down","մերժել, ցածրացնել","отклонять, убавлять","phrasal_verb","B1","They turned down my offer."
"turn out","պարզվել","оказаться","phrasal_verb","B1","It turned out to be true."
"watch out","զգույշ լինել","осторожно","phrasal_verb","A2","Watch out for the car!"
"write down","գրի առնել","записывать","phrasal_verb","A1","Write down every new word."
"make a decision","որոշում կայացնել","принять решение","collocation","A2","I need to make a decision today."
"make a mistake","սխալվել","совершить ошибку","collocation","A1","Everyone makes mistakes."
"take a break","դադար վերցնել","сделать перерыв","collocation","A1","Let’s take a break."
"take notes","նշումներ անել","конспектировать","collocation","A2","Take notes during the lesson."
"do homework","տնային աշխատանք անել","делать домашнее задание","collocation","A1","I do homework after dinner."
"have a conversation","զրուցել","вести разговор","collocation","A2","We had a long conversation."
"pay attention","ուշադրություն դարձնել","обращать внимание","collocation","A2","Pay attention to pronunciation."
"keep in mind","հիշել, նկատի ունենալ","иметь в виду","collocation","B1","Keep in mind the word stress."
"catch a cold","մրսել","простудиться","collocation","A2","I caught a cold last week."
"heavy rain","հորդառատ անձրև","сильный дождь","collocation","A2","There was heavy rain all night."
"strong coffee","ուժեղ սուրճ","крепкий кофе","collocation","A2","I like strong coffee in the morning."
"fast food","արագ սնունդ","быстрое питание","collocation","A1","Fast food is not healthy every day."
"save time","ժամանակ խնայել","экономить время","collocation","A2","Online lessons can save time."
"spend time","ժամանակ անցկացնել","проводить время","collocation","A1","I spend time with my family."
"tell the truth","ճշմարտություն ասել","говорить правду","collocation","A2","Please tell the truth."
"keep a promise","խոստումը պահել","сдержать обещание","collocation","B1","He always keeps a promise."
"break a promise","խոստումը խախտել","нарушить обещание","collocation","B1","Do not break a promise."
"have an idea","միտք ունենալ","иметь идею","collocation","A1","I have an idea for the project."
"get a job","աշխատանք գտնել","получить работу","collocation","A2","She got a job in Yerevan."
"lose weight","նիհարել","худеть","collocation","A2","He wants to lose weight."
"ask around","շուրջը հարցնել","расспрашивать","phrasal_verb","B1","Ask around if anyone saw your bag."
"back up","պահուստավորել, աջակցել","делать копию, поддерживать","phrasal_verb","B1","Back up your files."
"blow up","պայթել, բարկանալ","взрываться","phrasal_verb","B1","The balloon blew up."
"break in","ներխուժել","вламываться","phrasal_verb","B2","Someone broke in last night."
"break out","սկսվել (պատերազմ, հրդեհ)","вспыхнуть","phrasal_verb","B2","A fire broke out in the kitchen."
"bring about","առաջացնել","вызывать","phrasal_verb","C1","The law brought about change."
"bring back","ետ բերել","возвращать","phrasal_verb","A2","This song brings back memories."
"bump into","պատահաբար հանդիպել","наткнуться на","phrasal_verb","B1","I bumped into an old friend."
"calm down","հանգստանալ","успокоиться","phrasal_verb","A2","Calm down and breathe."
"cheer up","ուրախացնել, ուրախանալ","взбодриться","phrasal_verb","A2","Cheer up! We can still win."
"clean up","մաքրել","убирать","phrasal_verb","A1","Clean up your desk."
"close down","փակվել (բիզնես)","закрываться","phrasal_verb","B1","The shop closed down."
"come back","վերադառնալ","возвращаться","phrasal_verb","A1","Come back soon."
"come from","ծագել, գալ","происходить из","phrasal_verb","A1","I come from Gyumri."
"count on","հույս դնել","рассчитывать на","phrasal_verb","B1","You can count on me."
"cut off","կտրել, անջատել","отрезать, отключать","phrasal_verb","B1","They cut off the electricity."
"deal with","զբաղվել, կարգավորել","иметь дело с","phrasal_verb","A2","How do you deal with stress?"
"do over","կրկին անել","переделать","phrasal_verb","B1","Please do the exercise over."
"dress up","տոնական հագնվել","наряжаться","phrasal_verb","A2","We dressed up for the wedding."
"eat out","դրսում ուտել","есть вне дома","phrasal_verb","A2","Shall we eat out tonight?"
"fall apart","քանդվել","разваливаться","phrasal_verb","B1","The old chair fell apart."
"fall behind","հետ մնալ","отставать","phrasal_verb","B1","Do not fall behind in class."
"fall for","սիրահարվել, խաբվել","влюбляться, попасться","phrasal_verb","B2","I fell for that trick."
"fall out","վիճել","ссориться","phrasal_verb","B1","They fell out over money."
"fill up","լցնել մինչև վերջ","наполнять","phrasal_verb","A2","Fill up the bottle."
"get away","փախչել, հանգստանալ","смыться, уехать","phrasal_verb","B1","We got away for the weekend."
"get back","վերադառնալ","возвращаться","phrasal_verb","A1","When did you get back?"
"get by","ծայրը ծայրին հասցնել","справляться, перебиваться","phrasal_verb","B1","I can get by in English."
"get in","մտնել","входить, садиться","phrasal_verb","A1","Get in the car."
"get on","բարձրանալ (ավտոբուս)","садиться на","phrasal_verb","A1","Get on the bus at the next stop."
"get out","դուրս գալ","выходить","phrasal_verb","A1","Get out of the way!"
"get together","հավաքվել","собираться","phrasal_verb","A2","Let’s get together on Friday."
"give back","ետ տալ","возвращать","phrasal_verb","A1","Give the book back, please."
"give in","զիջել","уступать","phrasal_verb","B1","She finally gave in."
"go away","հեռանալ","уходить","phrasal_verb","A1","The pain went away."
"go back","ետ գնալ","возвращаться","phrasal_verb","A1","Go back to page ten."
"go out","դուրս գալ ժամանցի","выходить","phrasal_verb","A1","We go out on Saturdays."
"go over","վերանայել","повторять, проверять","phrasal_verb","B1","Let’s go over the answers."
"hand in","հանձնել","сдавать","phrasal_verb","A2","Hand in your homework."
"hand out","բաժանել","раздавать","phrasal_verb","A2","The teacher handed out papers."
"hang up","հեռախոսը դնել","класть трубку","phrasal_verb","A2","She hung up on me."
"hold back","զսպել","сдерживать","phrasal_verb","B2","He held back his tears."
"keep on","շարունակել","продолжать","phrasal_verb","A2","Keep on practising."
"leave out","բաց թողնել","пропускать, не включать","phrasal_verb","B1","Do not leave out silent letters."
"look into","ուսումնասիրել","расследовать","phrasal_verb","B1","The school will look into it."
"look out","զգույշ","осторожно","phrasal_verb","A2","Look out! Ice on the road."
"make out","տարբերել, հասկանալ","разглядеть, понять","phrasal_verb","B2","I cannot make out his writing."
"move in","տեղափոխվել ներս","вселяться","phrasal_verb","A2","They moved in last week."
"move out","տեղափոխվել դուրս","съезжать","phrasal_verb","A2","He moved out of the dorm."
"pass out","ուրանալ, ուշագնաց լինել","терять сознание","phrasal_verb","B1","She passed out from the heat."
"pay back","պարտքը վերադարձնել","отдавать долг","phrasal_verb","A2","I will pay you back tomorrow."
"pay off","արդյունք տալ, մարել","окупиться, погасить","phrasal_verb","B1","All that practice paid off."
"put away","հավաքել տեղը","убирать на место","phrasal_verb","A2","Put your books away."
"put down","դնել, գրի առնել, նվաստացնել","класть, записывать","phrasal_verb","B1","Put down your bags."
"put out","հանգցնել","тушить","phrasal_verb","A2","Put out the candle."
"set off","մեկնել","отправляться","phrasal_verb","B1","We set off at dawn."
"settle down","կայունանալ, հանգստանալ","остепениться","phrasal_verb","B1","He wants to settle down."
"show off","պարծենալ","хвастаться","phrasal_verb","B1","Stop showing off."
"shut up","լռել (կոպիտ)","заткнуться","phrasal_verb","B1","Please do not tell anyone to shut up."
"slow down","դանդաղեցնել","сбавлять скорость","phrasal_verb","A2","Slow down near the school."
"stand up","կանգնել","вставать","phrasal_verb","A1","Stand up, please."
"stay up","ուշ քնել","не ложиться спать","phrasal_verb","A2","I stayed up until midnight."
"switch off","անջատել","выключать","phrasal_verb","A1","Switch off the TV."
"switch on","միացնել","включать","phrasal_verb","A1","Switch on the kettle."
"take out","դուրս հանել, հանել","вынимать, брать с собой","phrasal_verb","A2","Take out a pen."
"think over","խորհել","обдумать","phrasal_verb","B1","Think it over and reply tomorrow."
"throw away","դեն նետել","выбрасывать","phrasal_verb","A2","Do not throw away useful notes."
"try on","փորձել (հագուստ)","примерять","phrasal_verb","A2","Can I try this jacket on?"
"try out","փորձարկել","испытывать","phrasal_verb","B1","Try out the new method."
"turn around","շրջվել","поворачиваться","phrasal_verb","A2","Turn around and look."
"turn over","շրջել","переворачивать","phrasal_verb","A2","Turn over the page."
"use up","սպառել","израсходовать","phrasal_verb","B1","We used up all the paper."
"wear out","մաշվել, հոգնել","изнашиваться","phrasal_verb","B1","These shoes are worn out."
"work on","աշխատել ինչ-որ բանի վրա","работать над","phrasal_verb","A2","I am working on my accent."
"a fish out of water","անհարմար միջավայրում","не в своей тарелке","idiom","B2","I felt like a fish out of water."
"a picture is worth a thousand words","նկարն ավելի շատ է ասում, քան խոսքը","лучше один раз увидеть","idiom","B1","A picture is worth a thousand words."
"all ears","ամբողջ ուշադրությամբ լսել","весь во внимании","idiom","B1","Tell me. I am all ears."
"apple of my eye","ամենասիրելին","свет очей моих","idiom","B2","Her daughter is the apple of her eye."
"at the drop of a hat","անմիջապես, առանց վարանելու","в любую минуту","idiom","C1","He leaves at the drop of a hat."
"barking up the wrong tree","սխալ ուղղությամբ գնալ","обращаться не по адресу","idiom","C1","You are barking up the wrong tree."
"bend over backwards","ամեն ինչ անել մեկի համար","из кожи вон лезть","idiom","C1","They bent over backwards to help."
"bite your tongue","լռել, չասել","прикусить язык","idiom","B2","I had to bite my tongue."
"burn bridges","կապերը խզել","сжигать мосты","idiom","B2","Do not burn bridges at work."
"bury the hatchet","հաշտվել","зарыть топор войны","idiom","C1","They finally buried the hatchet."
"by heart","անգիր","наизусть","idiom","A2","Learn these phrases by heart."
"call the shots","որոշումները կայացնել","заправлять","idiom","C1","Who calls the shots here?"
"can of worms","բարդ, տհաճ խնդիր","ящик Пандоры","idiom","C1","That topic is a can of worms."
"cold feet","վախ, վարանում վերջին պահին","струсить","idiom","B2","He got cold feet before the talk."
"cool as a cucumber","շատ հանգիստ","хладнокровный","idiom","B2","She was cool as a cucumber."
"curiosity killed the cat","հետաքրքրությունը վտանգավոր է","любопытной Варваре нос оторвали","idiom","B1","Do not snoop. Curiosity killed the cat."
"cut someone some slack","մեկին ներել, թուլություն տալ","не быть слишком строгим","idiom","B2","Cut him some slack. He is new."
"devil’s advocate","հակառակ կարծիք ներկայացնող","адвокат дьявола","idiom","C1","Let me play devil’s advocate."
"don’t judge a book by its cover","մի դատիր արտաքինով","не суди по обложке","idiom","A2","Don’t judge a book by its cover."
"down to earth","իրատես, համեստ","приземлённый","idiom","B1","She is smart and down to earth."
"draw the line","սահման դնել","поставить точку","idiom","B2","I draw the line at lying."
"face the music","պատասխան տալ","отвечать за содеянное","idiom","B2","He has to face the music now."
"fair and square","ազնիվ, արդար","честно и открыто","idiom","B1","She won fair and square."
"fit as a fiddle","շատ առողջ","здоров как бык","idiom","B2","Grandpa is fit as a fiddle."
"get cold feet","վերջին պահին վախենալ","струсить","idiom","B2","She got cold feet before the exam."
"get the ball rolling","սկսել գործը","дать ход делу","idiom","B1","Let’s get the ball rolling."
"give it a shot","փորձել","попробовать","idiom","A2","Give speaking a shot."
"go with the flow","հոսքին տալ","плыть по течению","idiom","B1","Sometimes you should go with the flow."
"hit the road","մեկնել","отправляться в путь","idiom","A2","We should hit the road before traffic."
"hold your horses","սպասիր, մի շտապիր","погоди, не гони","idiom","B1","Hold your horses. Read it again."
"in over your head","չափից դժվար գործ","не по зубам","idiom","B2","He is in over his head with this course."
"it takes two to tango","երկուսն էլ պատասխանատու են","танцуют двое","idiom","B2","It takes two to tango in an argument."
"jump the gun","շտապել","опережать события","idiom","B2","Do not jump the gun with the answer."
"keep your word","խոսքը պահել","держать слово","idiom","B1","A good friend keeps their word."
"last but not least","վերջինը, բայց ոչ պակաս կարևոր","последнее по списку, но не по важности","idiom","B1","Last but not least, review vocabulary."
"let off steam","լարվածությունը թափել","выпускать пар","idiom","B2","Sport helps me let off steam."
"like two peas in a pod","շատ նման","как две капли воды","idiom","B1","The twins are like two peas in a pod."
"make hay while the sun shines","օգտվել հնարավորությունից","куй железо, пока горячо","idiom","C1","Make hay while the sun shines."
"no hard feelings","ոչ մի չարություն","без обид","idiom","B1","You got the job. No hard feelings."
"off the top of my head","առանց ստուգելու, անմիջապես","сходу","idiom","B2","Off the top of my head, maybe 20 words."
"on the ball","ուշադիր, արագ կողմնորոշվող","на чеку","idiom","B2","Our teacher is always on the ball."
"out of the question","բացառված","не может быть и речи","idiom","B1","Cheating is out of the question."
"over the moon","շատ ուրախ","на седьмом небе","idiom","B1","They were over the moon."
"play with fire","վտանգով խաղալ","играть с огнём","idiom","B1","Skipping class is playing with fire."
"pull yourself together","կառավարել քեզ","взять себя в руки","idiom","B1","Pull yourself together and try again."
"put your foot down","խիստ որոշում կայացնել","настоять","idiom","B2","Dad put his foot down about bedtime."
"rain on someone’s parade","ուրախությունը փչացնել","портить праздник","idiom","C1","I hate to rain on your parade, but…"
"second nature","սովորություն դարձած","вторая натура","idiom","B2","Reading in English became second nature."
"see the light","վերջապես հասկանալ","прозреть","idiom","B2","After the example, I saw the light."
"skeleton in the closet","ընտանեկան գաղտնիք","скелет в шкафу","idiom","C1","Every family has a skeleton in the closet."
"sleep on it","գիշերը մտածել","переспать с мыслью","idiom","B1","Sleep on it and decide tomorrow."
"so far so good","մինչ այժմ լավ է","пока всё хорошо","idiom","A2","So far so good with this course."
"steal the show","ամբողջ ուշադրությունը գրավել","затмить всех","idiom","B2","The kid stole the show."
"straight from the horse’s mouth","առաջին աղբյուրից","из первых уст","idiom","C1","I heard it straight from the horse’s mouth."
"take a rain check","հետաձգել հրավերը","перенести на потом","idiom","B2","Can I take a rain check on dinner?"
"the early bird catches the worm","վաղ արթնացողը հաջողում է","кто рано встаёт, тому Бог подаёт","idiom","B1","The early bird catches the worm."
"the whole nine yards","ամբողջովին, մինչև վերջ","по полной программе","idiom","C1","He explained the whole nine yards."
"through the grapevine","լուրերով","по сарафанному радио","idiom","B2","I heard it through the grapevine."
"twist someone’s arm","ստիպել","выкручивать руки","idiom","B2","I did not want to go, but they twisted my arm."
"under the table","թաքուն, կաշառքով","из-под полы","idiom","C1","They paid him under the table."
"up to speed","ընթացիկ վիճակին տեղյակ","в курсе","idiom","B2","Let me get you up to speed."
"walking on air","շատ երջանիկ","летать от счастья","idiom","B2","She was walking on air after the result."
"when it rains it pours","դժբախտությունները իրար են գալիս","пришла беда — отворяй ворота","idiom","B2","I lost my bus and my keys. When it rains, it pours."
"you bet","անշուշտ","ещё бы","idiom","A2","Want coffee? You bet."
"have breakfast","նախաճաշել","завтракать","collocation","A1","I have breakfast at eight."
"have lunch","ճաշել","обедать","collocation","A1","We have lunch at school."
"have dinner","ընթրել","ужинать","collocation","A1","They have dinner together."
"make the bed","մահճակալը հավաքել","заправлять постель","collocation","A1","Please make the bed."
"do the dishes","ամանները լվանալ","мыть посуду","collocation","A1","I do the dishes after dinner."
"take a shower","ցնցուղ ընդունել","принимать душ","collocation","A1","I take a shower in the morning."
"take a photo","լուսանկարել","фотографировать","collocation","A1","Can you take a photo of us?"
"give a presentation","ներկայացում անել","делать презентацию","collocation","B1","She gave a presentation on Armenia."
"make progress","առաջընթաց ունենալ","делать успехи","collocation","A2","You are making real progress."
"take part in","մասնակցել","принимать участие","collocation","A2","Take part in the speaking club."
