"word","translation_hy","translation_ru","level","part_of_speech","frequency_rank"
"given","տվյալ, տրված","данный","A1","adjective","167"
"order","կարգ","порядок","A1","noun","168"
"power","ուժ, էներգիա, հզորություն","силовой","A1","noun","169"
"important","important","большой","A1","noun","170"
"get","ստանալ","получать","A1","verb","171"
"public","հասարակություն, ժողովուրդ","публика","A1","noun","172"
"old","ծեր, պառավ","обноски","A1","adjective","173"
"information","տեղեկություն, տեղեկատվություն","данные","A1","noun","174"
"small","փոքրիկ, պստիկ","мелочной","A1","adjective","175"
"form","ձև, ձևաթուղթ","сформировать","A1","noun","176"
"development","զարգացում, աճ","развёртка","A1","noun","177"
"upon","տե՛ս","на","A1","preposition","178"
"point","կետ","кегль","A1","noun","179"
"group","խումբ","группа","A1","noun","180"
"often","հաճախ","часто","A1","adverb","181"
"never","երբեք","никогда","A1","adverb","182"
"j.","j.","j.","A1","noun","183"
"water","ջուր","вода","A1","noun","184"
"thus","այսպես, այսպիսով, հետևաբար","так","A1","adverb","185"
"large","մեծ, խոշոր","большой","A1","adjective","186"
"figure","թիվ, թվանշան","фигурировать","A1","noun","187"
"less","ավելիփոքր/քիչ","менее","A1","adjective","188"
"go","գնալ","идти","A1","verb","189"
"war","war","война","A1","noun","190"
"god","Աստված","бог","A1","noun","191"
"law","օրենք, կանոն","право","A1","noun","192"
"second","վայրկյան, ակնթարթ","секунда","A1","noun","193"
"data","տվյալներ, տեղեկություններ, փաստեր","данные","A1","noun","194"
"come","գալ","приходить","A1","verb","195"
"university","համալսարան","университет","A1","noun","196"
"political","քաղաքական, պետական","политический","A1","adjective","197"
"york","york","york","A1","noun","198"
"set","լրակազմ, հավաքակազմ","партия","A1","noun","199"
"every","յուրաքանչյուր, ամենմի","всякий","A1","adjective","200"
"end","վերջ, վախճան","конец","A1","noun","201"
"need","անհրաժետություն, կարիք, պահանջ","необходимость","A1","noun","202"
"called","կոչ, կանչ, ճիչ","именуемый","A1","verb","203"
"again","նորից, կրկինդարձյալ","снова","A1","adverb","204"
"a.","a.","a.","A1","noun","205"
"off","ազատ","прочь","A1","adjective","206"
"process","ընթացք","процесс","A1","noun","207"
"among","մեջ, միջև","между","A1","preposition","208"
"few","քիչ, սակավ","мало","A1","prn","209"
"family","ընտանիք","семья","A1","noun","210"
"fact","փաստ, իրողություն, դեպք","факт","A1","noun","211"
"control","կառավարել, ղեկավարել","управление","A1","verb","212"
"national","հայրենակից, համաքաղաքացի","государственный","A1","noun","213"
"human","մարդ","людской","A1","noun","214"
"left","ձախկողմ/թև","левый","A1","noun","215"
"school","դպրոց","школа","A1","noun","216"
"although","թեև","хотя","A1","cj","217"
"later","ավելիուշ","там","A1","adjective","218"
"say","ասել","сказать","A1","verb","219"
"per","միջոցով","per","A1","preposition","220"
"following","հետևորդներ, համախոհներ","следующий","A1","noun","221"
"possible","հնարավոր, հավանական","возможный","A1","adjective","222"
"house","տուն","дом","A1","noun","223"
"study","ուսումնասիրել, հետազոտել, զննել","кабинет","A1","verb","224"
"present","ներկաժամանակ","подарок","A1","noun","225"
"united","միացյալ, միավորված","единый","A1","adjective","226"
"hand","ձեռք, դաստակ","рука","A1","noun","227"
"et","et","et","A1","noun","228"
"chapter","գլուխ (գրքի)","глава","A1","noun","229"
"change","փոփոխություն, փոփոխում","изменение","A1","noun","230"
"thought","միտք, մտածողություն","мысль","A1","noun","231"
"rather","բավականին","несколько","A1","adverb","232"
"table","սեղան","стол","A1","noun","233"
"history","պատմություն","история","A1","noun","234"
"though","though","хотя","A1","noun","235"
"early","վաղ","рано","A1","adjective","236"
"think","մտածել, խորհել","думать","A1","verb","237"
"last","վերջինը","колодка","A1","noun","238"
"b","անգլերենայբուբենիերկրորդտառը","си","A1","noun","239"
"always","միշտ","всегда","A1","adverb","240"
"c","անգլերենայբուբենիերրորդտառը","до","A1","noun","241"
"came","գալ, ժամանել","ну","A1","noun","242"
"others","մյուս(ը)","другой","A1","noun","243"
"home","տուն","домой","A1","noun","244"
"research","հետազոտություն, հետախուզում","исследование","A1","noun","245"
"find","գտնել, հայտնաբերել","находка","A1","verb","246"
"value","արժեք","рейтинг","A1","noun","247"
"several","several","несколько","A1","noun","248"
"level","մակարդակ","вровень","A1","noun","249"
"economic","տնտեսական","экономический","A1","adjective","250"
"until","մինչև(չ), միայն","до","A1","cnj","251"
"around","around","вокруг","A1","noun","252"
"press","մամուլ, պարբերականհրատարակություններ, լրագրություն","нажиматься","A1","noun","253"
"far","հեռավոր, հեռու","куда","A1","adjective","254"
"four","չորս","четыре","A1","number","255"
"course","ուղղություն, կուրս","ход","A1","noun","256"
"yet","դեռ, դեռևս","а","A1","adverb","257"
"once","միանգամ(ը)","однажды","A1","noun","258"
"himself","սեփականանձը/ “ես” ը","себя","A1","noun","259"
"become","դառնալ","подойти","A1","verb","260"
"book","գիրք","книга","A1","noun","261"
"area","տարածություն, տարածք, մակերես","районный","A1","noun","262"
"using","օգտագործում, կիրառում","прок","A1","verb","263"
"means","միջոց, միջոցներ","путь","A1","noun","264"
"give","տալ, շնորհել, վճարել","давать","A1","verb","265"
"period","շրջան, ժամանակաշրջան","срок","A1","noun","266"
"problem","խնդիր, հարց, պրոբլեմ (նաևմաթ","фигня","A1","noun","267"
"shall","ապառնիժամանակիօժանդակբայ","shall","A1","verb","268"
"why","why","что","A1","noun","269"
"things","իր, առարկա, բան","пожитки","A1","noun","270"
"whether","whether","ли","A1","noun","271"
"country","երկիր","страна","A1","noun","272"
"based","հիմք, պատվանդան","основный","A1","verb","273"
"above","above","над","A1","noun","274"
"society","հասարակություն, կազմակերպություն","свет","A1","noun","275"
"al","al","al","A1","noun","276"
"times","ժամանակ, ժամ","время","A1","noun","277"
"body","մարմին","тело","A1","noun","278"
"act","գործ","дело","A1","noun","279"
"something","ինչ֊որ/որևէբան","нечто","A1","prn","280"
"person","մարդ, անձ, անձնավորություն","человек","A1","noun","281"
"nature","nature","природа","A1","noun","282"
"line","գիծ, ուրվագիծ","ряд","A1","noun","283"
"away","հեռավորությանվրա","прочь","A1","adjective","284"
"name","անուն","имя","A1","noun","285"
"business","business","дело","A1","noun","286"
"certain","որոշակի","известный","A1","adjective","287"
"self","սեփականանձը/ “ես” ը","self","A1","noun","288"
"therefore","ուստի, հետևաբար","поэтому","A1","adverb","289"
"m.","m.","m.","A1","noun","290"
"education","կրթություն, ուսուցում","образование","A1","noun","291"
"city","քաղաք","город","A1","noun","292"
"want","կարիք","потребность","A1","noun","293"
"child","երեխա","ребёнок","A1","noun","294"
"known","հայտնի","известный","A1","adjective","295"
"best","ամենալավ, լավագույն","лучший","A1","adjective","296"
"court","սիրահետել, սիրատածել","двор","A1","verb","297"
"pp.","pp.","pp.","A1","noun","298"
"effect","արդյունք, հետևանք","действие","A1","noun","299"
"type","type","типовой","A1","noun","300"
"white","սպիտակ","белок","A1","adjective","301"
"help","օգնություն","помощь","A1","noun","302"
"company","ընկերություն, միություն","общество","A1","noun","303"
"common","common","рядовой","A1","noun","304"
"john","john","john","A1","noun","305"
"put","դնել","толчок","A1","verb","306"
"section","հատված, մաս","стол","A1","noun","307"
"going","գոյությունունեցող","изюминка","A1","noun","308"
"c.","c.","c.","A1","noun","309"
"side","կողմ, տեսակետ","бок","A1","noun","310"
"either","either","также","A1","noun","311"
"problems","խնդիր, հարց, պրոբլեմ (նաևմաթ","проблематика","A1","noun","312"
"next","հաջորդ","рядом","A1","adjective","313"
"least","ամենաքիչը","наименее","A1","noun","314"
"young","երիտասարդ, ջահել, պատանի","всходы","A1","adjective","315"
"interest","հետաքրքրություն","интерес","A1","noun","316"
"individual","անհատ, անձ, անձնավորություն","единица","A1","noun","317"
"let","թույլատրել, թույլտալ, թողնել","пусть","A1","verb","318"
"service","ծառայություն","служба","A1","noun","319"
"policy","քաղաքականություն","курс","A1","noun","320"
"whole","ամբողջություն, ամբողջը","целиком","A1","noun","321"
"words","բառ","текст","A1","noun","322"
"better","ավելիլավ, ավելին","краше","A1","adjective","323"
"total","ամբողջ, բոլորըմիասինվերցրած","итого","A1","adjective","324"
"taken","վերցնել, առնել","очарованный","A1","noun","325"
"seen","տեսնել, նկատել, տեսողությամբընկալել","видеть","A1","noun","326"
"view","տեսարան, բնապատկեր","вид","A1","noun","327"
"century","century","вековой","A1","noun","328"
"question","հարց","вопрос","A1","noun","329"
"further","հետագա, լրացուցիչ","далее","A1","adjective","330"
"local","տեղացի, տեղիբնակիչ","низовой","A1","noun","331"
"head","գլուխ","заведующий","A1","noun","332"
"having","having","должен","A1","verb","333"
"days","օր, ցերեկ","подолгу","A1","noun","334"
"took","վերցնել, առնել","дубль","A1","noun","335"
"land","երկիր, ցամաք, հող","сторона","A1","noun","336"
"am","am","рад","A1","noun","337"
"rate","չափաքանակ, նորմա","процент","A1","noun","338"
"went","գնալ","изюминка","A1","noun","339"
"analysis","վերլուծում, վերլուծություն","исследование","A1","noun","340"
"result","արդյունք, հետևանք","результат","A1","noun","341"
"age","հասակ, տարիք","лета","A1","noun","342"
"action","գործողություն","действие","A1","noun","343"
"itself","ինքը","себя","A1","pronoun","344"
"light","լույս, լուսավորություն","световой","A1","noun","345"
"support","աջակցություն, օժանդակություն","поддержка","A1","noun","346"
"free","ազատ, անկախ","даровой","A1","adjective","347"
"almost","գրեթե, համարյա","почти","A1","adverb","348"
"class","դասակարգ, դաս","класс","A1","noun","349"
"making","պատրաստում, ստեղծում, արտադրություն","создание","A1","noun","350"
"party","կուսակցություն","сторона","A1","noun","351"
"look","հայացք, նայվածք","вид","A1","noun","352"
"terms","ժամկետ, սահմանվածժամանակաշրջան","отношение","A1","noun","353"
"five","five","пятеро","A1","noun","354"
"particular","մանրամասնություն","требовательный","A1","noun","355"
"major","մեծ, գլխավոր, հիմնական","майор","A1","adjective","356"
"members","անդամ, պատգամավոր, խորհրդատու","член","A1","noun","357"
"sense","զգացում, զգայություն","смысловой","A1","noun","358"
"position","դիրք, տեղ, տեղադրություն","место","A1","noun","359"
"international","միջազգային","интернационал","A1","adjective","360"
"language","լեզու","язык","A1","noun","361"
"love","սեր, սիրել","любовь, любить","A1","noun","362"
"together","միասին (նաև՝ ) միմիանց/իրարհետ","вместе","A1","adverb","363"
"experience","փորձառություն","опыт","A1","noun","364"
"results","արդյունք, հետևանք","результат","A1","noun","365"
"low","ցածր, ցած","низко","A1","adjective","366"
"health","health","здоровье","A1","noun","367"
"various","տարբեր, զանազան, բազմազան","разный","A1","adjective","368"
"london","london","Лондон","A1","noun","369"
"father","հայր","отец","A1","noun","370"
"model","նմուշ/օրինակ, մոդելպատրաստել","типовой","A1","verb","371"
"black","սևություն, սևգույն/ներկ","ваксить","A1","noun","372"
"mind","բանականություն","голова","A1","noun","373"
"studies","ուսումնասիրել, հետազոտել, զննել","занятие","A1","noun","374"
"nothing","զրո, ոչինչ, դատարկբան","ничто","A1","prn","375"
"r.","r.","r.","A1","noun","376"
"u.s.","u.s.","u.s.","A1","noun","377"
"death","մահ","смерть","A1","noun","378"
"south","south","юг","A1","noun","379"
"cases","արկղ, տուփ","дело","A1","noun","380"
"themselves","(իրենք) իրենց","себя","A1","prn","381"
"became","դառնալ","подойти","A1","noun","382"
"community","համայնք","община","A1","noun","383"
"s.","s.","s.","A1","noun","384"
"already","արդեն","уже","A1","adverb","385"
"along","երկարությամբ, ծայրիցծայր","по","A1","adverb","386"
"groups","խումբ","группа","A1","noun","387"
"la","երժշ","la","A1","noun","388"
"mother","մայր","мать","A1","noun","389"
"theory","տեսություն, թեորիա","теория","A1","noun","390"
"necessary","անհրաժեշտ, հարկավոր, պետքական","нужный","A1","adjective","391"
"real","իսկական, իրական","прямо","A1","adjective","392"
"d","անգլերենայբուբենիչորրորդտառը","ре","A1","noun","393"
"production","արտադրություն","производство","A1","noun","394"
"true","իսկական, ճշմարիտ","правда","A1","adjective","395"
"full","ամենինչ, բոլորը, լրիվ","исполненный","A1","noun","396"
"conditions","պայման","условие","A1","noun","397"
"usually","սովորական, գործածական","обычно","A1","adverb","398"
"open","բացօդ/տարածություն բացօթյա","открыто","A1","noun","399"
"subject","թեմա, նյութ","подданный","A1","noun","400"
"field","դաշտ, մեծտարածություն","область","A1","noun","401"
"enough","բավականաչափ, բավական","довольно","A1","adverb","402"
"knowledge","գիտելիք, իմացություն, իրազեկություն","наука","A1","noun","403"
"done","անել, կատարել","до","A1","noun","404"
"able","ունակ, ընդունակ, կարող","способный","A1","adjective","405"
"face","դեմք, երես","личной","A1","noun","406"
"students","ուսանող, որևէբանուսումնասիրող","студент","A1","noun","407"
"asked","հարցնել","спросить","A1","verb","408"
"ii","ii","противно","A1","noun","409"
"church","եկեղեցի","церковь","A1","noun","410"
"d.","d.","d.","A1","noun","411"
"b.","b.","b.","A1","noun","412"
"changes","փոփոխություն, փոփոխում","изменение","A1","noun","413"
"available","մատչելի, առկա, հասանելի","имеющийся","A1","adjective","414"
"including","ներառյալ","включая","A1","preposition","415"
"perhaps","perhaps","разве","A1","noun","416"
"program","program","программа","A1","noun","417"
"room","սենյակ","место","A1","noun","418"
"show","ցուցադրում, ցուցահանդես","выставка","A1","noun","419"
"role","թատր","роль","A1","noun","420"
"special","ատուկ, արտակարգ","внеочередной","A1","noun","421"
"function","գործունեություն, գործառույթ","функционировать","A1","noun","422"
"care","խնամք, հոգատարություն","забота","A1","noun","423"
"told","ասել","сказать","A1","noun","424"
"air","օդային, ավիացիոն","воздух","A1","adjective","425"
"systems","համակարգ, սիստեմ","система","A1","noun","426"
"half","կես, կեսմաս","наполовину","A1","noun","427"
"structure","կառուցվածք, շինություն","состав","A1","noun","428"
"matter","նյութ","дело","A1","noun","429"
"similar","նման, համանման, միանման","подобный","A1","adjective","430"
"word","բառ","слово","A1","noun","431"
"kind","ցեղ, տեսակ","вид","A1","noun","432"
"ever","երբևէ, երբևիցե","никогда","A1","adverb","433"
"money","money","финансы","A1","noun","434"
"short","կարճ, համառոտսեղմ","короткий","A1","adjective","435"
"woman","կին","женщина","A1","noun","436"
"v.","v.","v.","A1","noun","437"
"north","հյուսիս","север","A1","noun","438"
"e","անգլերենայբուբենիհինգերրորդ 269 տառը","ми","A1","noun","439"
"single","մի, միակ","пикировать","A1","adjective","440"
"e.","e.","e.","A1","noun","441"
"market","շուկա","рынок","A1","noun","442"
"got","ստանալ, ձեռքբերել","получить","A1","noun","443"
"according","համաձայն","согласие","A1","adverb","444"
"term","ժամկետ, սահմանվածժամանակաշրջան","условие","A1","noun","445"
"management","ղեկավարություն, կառավարում","управление","A1","noun","446"
"especially","especially","особенно","A1","adverb","447"
"shown","shown","shown","A1","noun","448"
"force","ուժ, զորություն","форсировать","A1","noun","449"
"provide","ապահովել, մատակարարել","обеспечить","A1","verb","450"
"english","անգլերեն","английский","A1","adj","451"
"specific","հատուկ, յուրահատուկ, առանձնահատուկ","конкретный","A1","adjective","452"
"whose","ում/որի, որոնց","чей","A1","prn","453"
"evidence","վկայություն, հիմք, փաստ","доказательство","A1","noun","454"
"working","գործող, աշխատող, աշխատանքային","работа","A1","adjective","455"
"growth","աճ, զարգացում, ավելացում","всходы","A1","noun","456"
"held","held","held","A1","noun","457"
"areas","տարածություն, տարածք, մակերես","районный","A1","noun","458"
"eyes","eyes","отворачиваться","A1","noun","459"
"office","պաշտոն","управление","A1","noun","460"
"began","սկսել","начать","A1","noun","461"
"third","third","терция","A1","noun","462"
"non","non","non","A1","noun","463"
"energy","energy","недёшево","A1","noun","464"
"report","report","выстрел","A1","noun","465"
"night","գիշեր, երեկո","ночь","A1","noun","466"
"h.","h.","h.","A1","noun","467"
"art","արվեստ, արհեստ","искусство","A1","noun","468"
"quite","ամբողջովին","совсем","A1","adverb","469"
"required","անհրաժեշտ, պահանջվող","потребный","A1","adjective","470"
"services","ծառայություն","услуга","A1","noun","471"
"clear","պարզ, պայծառ, ջինջ","ясно","A1","adjective","472"
"percent","տոկոս","percent","A1","noun","473"
"method","մեթոդ, միջոց, եղանակ","способ","A1","noun","474"
"due","ուղիղ, ուղղակի","причитающийся","A1","adverb","475"
"foreign","օտարերկրյա, օտար","чужой","A1","adjective","476"
"past","անցյալ, անցածը (նաև )","мимо","A1","noun","477"
"higher","higher","высший","A1","noun","478"
"central","կենտրոնական","центровой","A1","adjective","479"
"reason","պատճառ, հիմք","резонёрствовать","A1","noun","480"
"trade","առևտուրանել","торгующий","A1","verb","481"
"values","արժեք","ценность","A1","noun","482"
"british","բրիտանական, անգլիական","английский","A1","adjective","483"
"future","ապագա, գալիք","будущность","A1","noun","484"
"material","նյութ","материал","A1","noun","485"
"x","անգլերենայբուբենի 24֊րդտառը","x","A1","noun","486"
"population","բնակչություն, բնակիչներ","населённость","A1","noun","487"
"treatment","վարմունք, վերաբերմունք","отношение","A1","noun","488"
"cost","արժեք, գին, ծախս","цена","A1","noun","489"
"m","անգլերենայբուբենի 13֊րդտառը","m","A1","noun","490"
"countries","countries","страна","A1","noun","491"
"effects","արդյունք, հետևանք","эффект","A1","noun","492"
"natural","բժշկ","отказ","A1","noun","493"
"increase","աճ, աճում","рост","A1","noun","494"
"t","անգլերենայբուբենի 20֊րդտառը","t","A1","noun","495"
"thing","իր, առարկա, բան","вещь","A1","noun","496"
"personal","անձնական, անհատական","личный","A1","adjective","497"
"really","իսկապես, իրոք, արդարև","прямо","A1","adverb","498"
"west","դեպիարևմուտք","запад","A1","adverb","499"
"toward","տեղիունեցող, առաջիկա","toward","A1","adjective","500"
"sometimes","sometimes","иногда","A1","noun","501"
"mean","ժլատ, գծուծ","сказать","A1","adjective","502"
"considered","համարել, քննարկել","продуманный","A1","verb","503"
"rights","իրավունք","вольность","A1","noun","504"
"fig","բսբ","фиговый","A1","noun","505"
"saw","տեսնել, նկատել, տեսողությամբընկալել","пила","A1","noun","506"
"food","սնունդ","еда","A1","noun","507"
"science","science","наука","A1","noun","508"
"current","հոսանք (նաև էլ","общеупотребительный","A1","noun","509"
"mr.","mr.","mr.","A1","noun","510"
"approach","մոտենալը, մոտեցում","подъезд","A1","noun","511"
"felt","թաղիք, նրբաթաղիք, ֆետր","валять","A1","noun","512"
"probably","հավանաբար","видно","A1","adverb","513"
"test","ստուգում, փորձարկում","квалифицировать","A1","noun","514"
"read","կարդալ","реферировать","A1","verb","515"
"greater","greater","больше","A1","noun","516"
"seems","թվալ, երևալ","казаться","A1","noun","517"
"practice","գործունեություն, հմտություն, փորձ","практика","A1","noun","518"
"note","գրառում, նշում","внимание","A1","noun","519"
"main","մայրուղի, մագիստրալ","узловой","A1","noun","520"
"lower","ավելիցածր, ներքևի","ниже","A1","adjective","521"
"tell","ասել","сказать","A1","verb","522"
"situation","իրավիճակ, կացություն","положение","A1","noun","523"
"keep","ապրուստ","держать","A1","noun","524"
"king","թագավոր","король","A1","noun","525"
"activity","activity","действие","A1","noun","526"
"knew","գիտենալ, իմանալ","узнать","A1","noun","527"
"surface","մակերես, մակերևույթ","поверхность","A1","noun","528"
"account","հաշիվ","счёт","A1","noun","529"
"relationship","relationship","отношение","A1","noun","530"
"cause","պատճառ, հիմք, առիթ","дело","A1","noun","531"
"idea","միտք, մտահղացում","мысль","A1","noun","532"
"president","նախագահ, պրեզիդենտ","президент","A1","noun","533"
"movement","(նաևտեխ","движение","A1","noun","534"
"close","վերջ, ավարտ, եզրափակում","часто","A1","noun","535"
"heart","սիրտ","сердце","A1","noun","536"
"n","n","энный","A1","noun","537"
"living","կյանք, ապրելակերպ","хлеб","A1","noun","538"
"related","կապված, հարաբերությունունեցող, իրարհետկապունեցող","связанный","A1","adjective","539"
"provided","(նաև ) պայմանով, որ","обеспечить","A1","cnj","540"
"brought","բերել","привести","A1","noun","541"
"america","america","США","A1","noun","542"
"plan","ծրագիր, պլան, հատակագիծ","план","A1","noun","543"
"story","story","побасёнка","A1","noun","544"
"patients","patients","больная","A1","noun","545"
"size","չափս, մեծություն","номер","A1","noun","546"
"l.","l.","l.","A1","noun","547"
"space","տարածություն, հեռավորություն","место","A1","noun","548"
"source","աղբյուր, սկզբնաղբյուր","начало","A1","noun","549"
"amount","քանակ, քանակություն","количество","A1","noun","550"
"looked","հայացք, նայվածք","вид","A1","verb","551"
"call","կոչ, կանչ, ճիչ","вызов","A1","noun","552"
